,route,airline,model_session_label,departure_period,prior_anchor_source,query_dud,flight_day_of_week,flight_month,is_peak_period,departure_time_sin,departure_time_cos,prior_anchor_log,prior_anchor_support_log1p,prior_anchor_age_hours,prior_market_change_pct_per_day,has_prior_market_change,prior_competitor_airline_count,prior_competitor_offer_count,prior_route_min_log_price,prior_route_price_spread_log1p,history_support_count,is_first_observation,previous_relative_log,relative_lag_age_hours,prior_relative_volatility,prior_relative_trend_per_dud_day,has_previous_same_schedule,has_prior_relative_volatility,has_prior_relative_trend,template_history_support_count,template_previous_relative_log,template_lag_age_hours,template_prior_relative_volatility,template_prior_relative_trend_per_dud_day,has_previous_schedule_template,has_template_relative_volatility,has_template_relative_trend
departure_time_cos,0.24031635761550035,0.04488775186604195,0.01216966639647588,0.835345786539841,0.0,0.02726682759565269,0.008405943940013825,0.07519406458432025,0.0013539774816129617,0.29413571800414584,1.0,0.09491489531650103,0.18438311471164182,0.05661446362400021,0.0011096619391872248,0.011252029007705283,0.13247421917970656,0.1805051385621155,0.020564684307551418,0.028475882512520378,0.005413519127590264,0.006069767775502845,0.3111441553005763,0.0306965831208451,0.010144426702551154,0.12990138603797696,0.006069767775502845,0.006415541228820778,0.01124992589404728,0.08120233194998754,0.35924746023519866,0.05414408301525612,0.04432966887224477,0.05158084494804912,0.0,0.0060306498479894355,0.011228599421811319
prior_anchor_log,0.7029178609147895,0.2608610179798998,0.00841882521033026,0.1526737692276418,0.0,0.0733070249766593,0.005298984231019867,0.22823755765175824,0.09666787346856963,0.040597138945102175,0.09491489531650103,1.0,0.08292893695937124,0.1782464301757739,0.1324692103465333,0.001966186498909474,0.027005096659556294,0.15588930885371824,0.7964424438501145,0.23930015154849163,0.0647416520894681,0.007997375671424875,0.3576083014932636,0.08926956872946087,0.08371619967524256,0.06791671840222765,0.007997375671424875,0.027940902004868273,0.004776942588147072,0.13231436075906233,0.3825530879788081,0.1768740742688413,0.2471441722036181,0.004334418394632863,0.0,0.0025256954865851807,0.01614200527805197
prior_anchor_support_log1p,0.4528244494844077,0.35061154461463373,0.04200401087491086,0.15719323630840346,0.0,0.08531630299817511,0.000994651373691235,0.12218140091645749,0.007353593307089196,0.04203136061438826,0.18438311471164182,0.08292893695937124,1.0,0.06814713408030501,0.001106933119878458,0.009861841038980046,0.430728166484294,0.5823746988772935,0.021371073792061393,0.14072883936204916,0.019625733030565747,0.0074901586453764825,0.07606728188717964,0.0035425563147999783,0.1646158891696435,0.00795724851481241,0.0074901586453764825,0.014522247170847474,0.021207656985412885,0.11281404467769647,0.08205073371602521,0.061820819564707225,0.2745775123542279,0.041566139753507585,0.0,0.019583962298765075,0.009194319620528498
prior_anchor_age_hours,0.06544627539041066,0.061904255987939256,0.12643688073873832,0.053023624165036205,0.0,0.03194180192668684,0.008435459013322997,0.5573807104669146,0.22406102119269605,0.0048101679997415376,0.05661446362400021,0.1782464301757739,0.06814713408030501,1.0,0.030546946016972713,0.06800833858808235,0.07342303978907193,0.07595494899495396,0.22356176552097545,0.08173397883213943,0.38444414524215587,0.2243768023807636,0.011379691624232253,0.6041167683663652,0.10591825465558112,0.07353191178421402,0.2243768023807636,0.2628307161648396,0.23144256696062462,0.5156766390334411,0.019047996478243685,0.9723058585859977,0.23788156269528288,0.09695370322621603,0.0,0.06787498062583716,0.1348866539908328
prior_market_change_pct_per_day,0.019836098693983884,0.010246662643992576,0.07156705514053283,0.0029308994489070394,0.0,0.00822324862452679,0.06131686657331634,0.00919868439883675,0.006103856290474571,0.003242236039609601,0.0011096619391872248,0.1324692103465333,0.001106933119878458,0.030546946016972713,1.0,0.0,0.004353990391255753,0.004977858553726696,0.062334274672718,0.06590871568018655,0.004816935530343189,0.012134251920122985,0.02132046731944596,0.040381127059453764,0.007069706966154285,0.023774238676406018,0.012134251920122985,0.00947623761643534,0.012772645842686786,0.0031704832193299583,0.013261674043501565,0.030175305545812204,0.006165426408869185,0.000298377471449475,0.0,0.0025965184047234027,0.006110029724247002
has_prior_market_change,0.011903969983072594,0.019190061861235102,0.08741825575692812,0.009515863170537542,0.0,0.01074492458324855,0.03415174284319056,0.1310045496629784,0.01786122930188842,0.0006256936221800777,0.011252029007705283,0.001966186498909474,0.009861841038980046,0.06800833858808235,0.0,1.0,0.008958984480077837,0.020526835918892136,0.006797227084436393,0.02447028783703599,0.12088187291434037,0.16815750224411877,0.0017045331632044595,0.01099074322894254,0.005353562546086372,0.00866960715903074,0.16815750224411877,0.14128254101342522,0.1328437409489925,0.14743503458691373,0.00529722813538067,0.06463908471441308,0.0010089593628250574,0.007122025222350158,0.0,0.7889652608975782,0.530847558505664
prior_competitor_airline_count,0.8301614259823099,0.16835359697989744,0.014533216931619599,0.08938351458333893,0.0,0.19667033002346837,0.014561984950545928,0.20882803743788697,0.01841571962023896,0.04084010047442724,0.13247421917970656,0.027005096659556294,0.430728166484294,0.07342303978907193,0.004353990391255753,0.008958984480077837,1.0,0.7500757887965509,0.0715482591490474,0.3157462922202624,0.1448588335762795,0.07782035805327339,0.005828445047588,0.026431751431605772,0.0009359509405738262,0.01715809708637805,0.07782035805327339,0.12780757180630406,0.14601608757993362,0.02986113648985902,0.02030701857879624,0.06861849419655743,0.16409876316014754,0.0822222665464763,0.0,0.004114795081226097,0.0023305031343073277
prior_competitor_offer_count,0.9045029912048247,0.13740473406603818,0.013805217628532722,0.10958356442853122,0.0,0.09471140510578761,0.00475250519874374,0.12914042220485084,0.018575886065267732,0.03374978025391463,0.1805051385621155,0.15588930885371824,0.5823746988772935,0.07595494899495396,0.004977858553726696,0.020526835918892136,0.7500757887965509,1.0,0.11184512624084418,0.2671982358340455,0.033553881677174976,0.01748206322638358,0.016491794238254635,0.009216063515203366,0.12342107563222066,0.002869676616091865,0.01748206322638358,0.021959885516526903,0.028644560349453004,0.10766134016313779,0.006492326001615122,0.07962109710175523,0.24983408333647203,0.05909297335089306,0.0,0.019075543198492015,0.010311543170073099
prior_route_min_log_price,0.8017281842619811,0.11673689389397758,0.03717906772075509,0.08108843242249979,0.0,0.009931204205097393,0.008636004154254869,0.2427463914291951,0.1150056661213467,0.033790649239792074,0.020564684307551418,0.7964424438501145,0.021371073792061393,0.22356176552097545,0.062334274672718,0.006797227084436393,0.0715482591490474,0.11184512624084418,1.0,0.057444788528112536,0.1543445019855224,0.06264814807828568,0.030760479570037115,0.1245505897436116,0.12120226735857403,0.03512622716752723,0.06264814807828568,0.09887744865463492,0.06955137918373583,0.21458438513658792,0.042904891833565724,0.2199533513272297,0.2796312897790672,0.0566805347401117,0.0,0.003935818974607841,0.019212355436180786
prior_route_price_spread_log1p,0.2856034235432768,0.0360319765324647,0.021664175702744363,0.008060656682449329,0.0,0.33547987592209294,0.005196396824457719,0.05361459712252049,0.014260054661333194,0.0004153433131196474,0.028475882512520378,0.23930015154849163,0.14072883936204916,0.08173397883213943,0.06590871568018655,0.02447028783703599,0.3157462922202624,0.2671982358340455,0.057444788528112536,1.0,0.3188950626119921,0.17579979733129317,0.0006969230050618717,0.13389632319341727,0.18871953352330925,0.01842766545666977,0.17579979733129317,0.22569414180450303,0.22444919423992965,0.10032072279912665,0.010382605657860443,0.08275396540587367,0.1089234765545339,0.007147146812541206,0.0,0.023354685445991605,0.027233589305805467
